Class,Threshold,High_Risk_Count,True_Positive_Count
UA,0.0,208.0,50.0
UA,0.010101010101010102,206.0,50.0
UA,0.020202020202020204,205.0,50.0
UA,0.030303030303030304,204.0,50.0
UA,0.04040404040404041,201.0,50.0
UA,0.05050505050505051,198.0,50.0
UA,0.06060606060606061,192.0,50.0
UA,0.07070707070707072,188.0,50.0
UA,0.08080808080808081,182.0,50.0
UA,0.09090909090909091,181.0,50.0
UA,0.10101010101010102,175.0,50.0
UA,0.11111111111111112,166.0,50.0
UA,0.12121212121212122,163.0,50.0
UA,0.13131313131313133,158.0,50.0
UA,0.14141414141414144,152.0,50.0
UA,0.15151515151515152,147.0,50.0
UA,0.16161616161616163,141.0,50.0
UA,0.17171717171717174,137.0,50.0
UA,0.18181818181818182,132.0,50.0
UA,0.19191919191919193,123.0,50.0
UA,0.20202020202020204,118.0,50.0
UA,0.21212121212121213,109.0,50.0
UA,0.22222222222222224,102.0,50.0
UA,0.23232323232323235,98.0,49.0
UA,0.24242424242424243,94.0,49.0
UA,0.25252525252525254,91.0,49.0
UA,0.26262626262626265,88.0,49.0
UA,0.27272727272727276,85.0,49.0
UA,0.2828282828282829,82.0,49.0
UA,0.29292929292929293,75.0,46.0
UA,0.30303030303030304,73.0,46.0
UA,0.31313131313131315,69.0,46.0
UA,0.32323232323232326,66.0,46.0
UA,0.33333333333333337,62.0,45.0
UA,0.3434343434343435,55.0,43.0
UA,0.3535353535353536,51.0,42.0
UA,0.36363636363636365,48.0,41.0
UA,0.37373737373737376,47.0,41.0
UA,0.38383838383838387,44.0,40.0
UA,0.393939393939394,41.0,38.0
UA,0.4040404040404041,39.0,36.0
UA,0.4141414141414142,37.0,36.0
UA,0.42424242424242425,36.0,35.0
UA,0.43434343434343436,36.0,35.0
UA,0.4444444444444445,35.0,34.0
UA,0.4545454545454546,33.0,32.0
UA,0.4646464646464647,31.0,30.0
UA,0.4747474747474748,29.0,28.0
UA,0.48484848484848486,25.0,24.0
UA,0.494949494949495,23.0,22.0
UA,0.5050505050505051,21.0,20.0
UA,0.5151515151515152,19.0,18.0
UA,0.5252525252525253,18.0,17.0
UA,0.5353535353535354,14.0,14.0
UA,0.5454545454545455,14.0,14.0
UA,0.5555555555555556,14.0,14.0
UA,0.5656565656565657,13.0,13.0
UA,0.5757575757575758,13.0,13.0
UA,0.5858585858585859,13.0,13.0
UA,0.595959595959596,13.0,13.0
UA,0.6060606060606061,13.0,13.0
UA,0.6161616161616162,12.0,12.0
UA,0.6262626262626263,12.0,12.0
UA,0.6363636363636365,12.0,12.0
UA,0.6464646464646465,9.0,9.0
UA,0.6565656565656566,9.0,9.0
UA,0.6666666666666667,6.0,6.0
UA,0.6767676767676768,5.0,5.0
UA,0.686868686868687,4.0,4.0
UA,0.696969696969697,4.0,4.0
UA,0.7070707070707072,4.0,4.0
UA,0.7171717171717172,4.0,4.0
UA,0.7272727272727273,4.0,4.0
UA,0.7373737373737375,3.0,3.0
UA,0.7474747474747475,3.0,3.0
UA,0.7575757575757577,3.0,3.0
UA,0.7676767676767677,3.0,3.0
UA,0.7777777777777778,2.0,2.0
UA,0.787878787878788,2.0,2.0
UA,0.797979797979798,2.0,2.0
UA,0.8080808080808082,2.0,2.0
UA,0.8181818181818182,2.0,2.0
UA,0.8282828282828284,2.0,2.0
UA,0.8383838383838385,2.0,2.0
UA,0.8484848484848485,2.0,2.0
UA,0.8585858585858587,2.0,2.0
UA,0.8686868686868687,1.0,1.0
UA,0.8787878787878789,1.0,1.0
UA,0.888888888888889,1.0,1.0
UA,0.8989898989898991,1.0,1.0
UA,0.9090909090909092,1.0,1.0
UA,0.9191919191919192,1.0,1.0
UA,0.9292929292929294,1.0,1.0
UA,0.9393939393939394,1.0,1.0
UA,0.9494949494949496,1.0,1.0
UA,0.9595959595959597,1.0,1.0
UA,0.9696969696969697,1.0,1.0
UA,0.9797979797979799,0.0,0.0
UA,0.98989898989899,0.0,0.0
UA,1.0,0.0,0.0
NUA,0.0,208.0,86.0
NUA,0.010101010101010102,207.0,86.0
NUA,0.020202020202020204,207.0,86.0
NUA,0.030303030303030304,207.0,86.0
NUA,0.04040404040404041,207.0,86.0
NUA,0.05050505050505051,207.0,86.0
NUA,0.06060606060606061,205.0,86.0
NUA,0.07070707070707072,203.0,86.0
NUA,0.08080808080808081,203.0,86.0
NUA,0.09090909090909091,203.0,86.0
NUA,0.10101010101010102,201.0,86.0
NUA,0.11111111111111112,200.0,86.0
NUA,0.12121212121212122,198.0,86.0
NUA,0.13131313131313133,194.0,86.0
NUA,0.14141414141414144,192.0,86.0
NUA,0.15151515151515152,190.0,86.0
NUA,0.16161616161616163,186.0,86.0
NUA,0.17171717171717174,186.0,86.0
NUA,0.18181818181818182,186.0,86.0
NUA,0.19191919191919193,183.0,86.0
NUA,0.20202020202020204,177.0,86.0
NUA,0.21212121212121213,173.0,86.0
NUA,0.22222222222222224,170.0,86.0
NUA,0.23232323232323235,165.0,85.0
NUA,0.24242424242424243,162.0,85.0
NUA,0.25252525252525254,159.0,84.0
NUA,0.26262626262626265,156.0,84.0
NUA,0.27272727272727276,150.0,84.0
NUA,0.2828282828282829,146.0,84.0
NUA,0.29292929292929293,140.0,84.0
NUA,0.30303030303030304,135.0,83.0
NUA,0.31313131313131315,132.0,83.0
NUA,0.32323232323232326,125.0,83.0
NUA,0.33333333333333337,119.0,82.0
NUA,0.3434343434343435,116.0,82.0
NUA,0.3535353535353536,112.0,81.0
NUA,0.36363636363636365,107.0,80.0
NUA,0.37373737373737376,102.0,77.0
NUA,0.38383838383838387,93.0,74.0
NUA,0.393939393939394,89.0,72.0
NUA,0.4040404040404041,85.0,72.0
NUA,0.4141414141414142,82.0,70.0
NUA,0.42424242424242425,76.0,67.0
NUA,0.43434343434343436,72.0,64.0
NUA,0.4444444444444445,68.0,62.0
NUA,0.4545454545454546,63.0,60.0
NUA,0.4646464646464647,61.0,58.0
NUA,0.4747474747474748,53.0,53.0
NUA,0.48484848484848486,53.0,53.0
NUA,0.494949494949495,51.0,51.0
NUA,0.5050505050505051,47.0,47.0
NUA,0.5151515151515152,46.0,46.0
NUA,0.5252525252525253,43.0,43.0
NUA,0.5353535353535354,40.0,40.0
NUA,0.5454545454545455,37.0,37.0
NUA,0.5555555555555556,35.0,35.0
NUA,0.5656565656565657,35.0,35.0
NUA,0.5757575757575758,32.0,32.0
NUA,0.5858585858585859,27.0,27.0
NUA,0.595959595959596,25.0,25.0
NUA,0.6060606060606061,25.0,25.0
NUA,0.6161616161616162,25.0,25.0
NUA,0.6262626262626263,22.0,22.0
NUA,0.6363636363636365,20.0,20.0
NUA,0.6464646464646465,20.0,20.0
NUA,0.6565656565656566,18.0,18.0
NUA,0.6666666666666667,15.0,15.0
NUA,0.6767676767676768,14.0,14.0
NUA,0.686868686868687,13.0,13.0
NUA,0.696969696969697,12.0,12.0
NUA,0.7070707070707072,12.0,12.0
NUA,0.7171717171717172,12.0,12.0
NUA,0.7272727272727273,11.0,11.0
NUA,0.7373737373737375,10.0,10.0
NUA,0.7474747474747475,8.0,8.0
NUA,0.7575757575757577,6.0,6.0
NUA,0.7676767676767677,5.0,5.0
NUA,0.7777777777777778,5.0,5.0
NUA,0.787878787878788,5.0,5.0
NUA,0.797979797979798,4.0,4.0
NUA,0.8080808080808082,4.0,4.0
NUA,0.8181818181818182,4.0,4.0
NUA,0.8282828282828284,4.0,4.0
NUA,0.8383838383838385,4.0,4.0
NUA,0.8484848484848485,4.0,4.0
NUA,0.8585858585858587,4.0,4.0
NUA,0.8686868686868687,4.0,4.0
NUA,0.8787878787878789,4.0,4.0
NUA,0.888888888888889,4.0,4.0
NUA,0.8989898989898991,4.0,4.0
NUA,0.9090909090909092,3.0,3.0
NUA,0.9191919191919192,3.0,3.0
NUA,0.9292929292929294,3.0,3.0
NUA,0.9393939393939394,2.0,2.0
NUA,0.9494949494949496,2.0,2.0
NUA,0.9595959595959597,0.0,0.0
NUA,0.9696969696969697,0.0,0.0
NUA,0.9797979797979799,0.0,0.0
NUA,0.98989898989899,0.0,0.0
NUA,1.0,0.0,0.0
MIX,0.0,208.0,72.0
MIX,0.010101010101010102,208.0,72.0
MIX,0.020202020202020204,206.0,72.0
MIX,0.030303030303030304,206.0,72.0
MIX,0.04040404040404041,205.0,72.0
MIX,0.05050505050505051,205.0,72.0
MIX,0.06060606060606061,205.0,72.0
MIX,0.07070707070707072,203.0,72.0
MIX,0.08080808080808081,202.0,72.0
MIX,0.09090909090909091,201.0,72.0
MIX,0.10101010101010102,200.0,72.0
MIX,0.11111111111111112,198.0,72.0
MIX,0.12121212121212122,197.0,72.0
MIX,0.13131313131313133,195.0,72.0
MIX,0.14141414141414144,193.0,72.0
MIX,0.15151515151515152,192.0,72.0
MIX,0.16161616161616163,187.0,72.0
MIX,0.17171717171717174,185.0,72.0
MIX,0.18181818181818182,179.0,72.0
MIX,0.19191919191919193,178.0,72.0
MIX,0.20202020202020204,177.0,72.0
MIX,0.21212121212121213,174.0,72.0
MIX,0.22222222222222224,168.0,72.0
MIX,0.23232323232323235,160.0,72.0
MIX,0.24242424242424243,155.0,72.0
MIX,0.25252525252525254,149.0,72.0
MIX,0.26262626262626265,142.0,72.0
MIX,0.27272727272727276,137.0,72.0
MIX,0.2828282828282829,132.0,72.0
MIX,0.29292929292929293,127.0,72.0
MIX,0.30303030303030304,121.0,72.0
MIX,0.31313131313131315,115.0,72.0
MIX,0.32323232323232326,110.0,72.0
MIX,0.33333333333333337,105.0,72.0
MIX,0.3434343434343435,98.0,72.0
MIX,0.3535353535353536,90.0,71.0
MIX,0.36363636363636365,87.0,69.0
MIX,0.37373737373737376,82.0,68.0
MIX,0.38383838383838387,78.0,66.0
MIX,0.393939393939394,73.0,64.0
MIX,0.4040404040404041,68.0,61.0
MIX,0.4141414141414142,61.0,56.0
MIX,0.42424242424242425,55.0,51.0
MIX,0.43434343434343436,50.0,48.0
MIX,0.4444444444444445,46.0,44.0
MIX,0.4545454545454546,44.0,42.0
MIX,0.4646464646464647,43.0,41.0
MIX,0.4747474747474748,42.0,40.0
MIX,0.48484848484848486,36.0,36.0
MIX,0.494949494949495,33.0,33.0
MIX,0.5050505050505051,29.0,29.0
MIX,0.5151515151515152,27.0,27.0
MIX,0.5252525252525253,27.0,27.0
MIX,0.5353535353535354,24.0,24.0
MIX,0.5454545454545455,23.0,23.0
MIX,0.5555555555555556,21.0,21.0
MIX,0.5656565656565657,20.0,20.0
MIX,0.5757575757575758,17.0,17.0
MIX,0.5858585858585859,16.0,16.0
MIX,0.595959595959596,15.0,15.0
MIX,0.6060606060606061,12.0,12.0
MIX,0.6161616161616162,12.0,12.0
MIX,0.6262626262626263,12.0,12.0
MIX,0.6363636363636365,12.0,12.0
MIX,0.6464646464646465,12.0,12.0
MIX,0.6565656565656566,8.0,8.0
MIX,0.6666666666666667,8.0,8.0
MIX,0.6767676767676768,8.0,8.0
MIX,0.686868686868687,8.0,8.0
MIX,0.696969696969697,8.0,8.0
MIX,0.7070707070707072,8.0,8.0
MIX,0.7171717171717172,6.0,6.0
MIX,0.7272727272727273,6.0,6.0
MIX,0.7373737373737375,6.0,6.0
MIX,0.7474747474747475,6.0,6.0
MIX,0.7575757575757577,6.0,6.0
MIX,0.7676767676767677,5.0,5.0
MIX,0.7777777777777778,5.0,5.0
MIX,0.787878787878788,2.0,2.0
MIX,0.797979797979798,2.0,2.0
MIX,0.8080808080808082,2.0,2.0
MIX,0.8181818181818182,1.0,1.0
MIX,0.8282828282828284,1.0,1.0
MIX,0.8383838383838385,1.0,1.0
MIX,0.8484848484848485,1.0,1.0
MIX,0.8585858585858587,1.0,1.0
MIX,0.8686868686868687,1.0,1.0
MIX,0.8787878787878789,1.0,1.0
MIX,0.888888888888889,1.0,1.0
MIX,0.8989898989898991,0.0,0.0
MIX,0.9090909090909092,0.0,0.0
MIX,0.9191919191919192,0.0,0.0
MIX,0.9292929292929294,0.0,0.0
MIX,0.9393939393939394,0.0,0.0
MIX,0.9494949494949496,0.0,0.0
MIX,0.9595959595959597,0.0,0.0
MIX,0.9696969696969697,0.0,0.0
MIX,0.9797979797979799,0.0,0.0
MIX,0.98989898989899,0.0,0.0
MIX,1.0,0.0,0.0
