Class,Threshold,High_Risk_Count,True_Positive_Count
UA,0.0,208.0,50.0
UA,0.010101010101010102,163.0,50.0
UA,0.020202020202020204,157.0,50.0
UA,0.030303030303030304,155.0,50.0
UA,0.04040404040404041,154.0,50.0
UA,0.05050505050505051,151.0,50.0
UA,0.06060606060606061,148.0,50.0
UA,0.07070707070707072,144.0,50.0
UA,0.08080808080808081,144.0,50.0
UA,0.09090909090909091,141.0,50.0
UA,0.10101010101010102,136.0,50.0
UA,0.11111111111111112,133.0,50.0
UA,0.12121212121212122,133.0,50.0
UA,0.13131313131313133,131.0,50.0
UA,0.14141414141414144,128.0,50.0
UA,0.15151515151515152,126.0,50.0
UA,0.16161616161616163,121.0,50.0
UA,0.17171717171717174,116.0,50.0
UA,0.18181818181818182,111.0,50.0
UA,0.19191919191919193,109.0,50.0
UA,0.20202020202020204,105.0,50.0
UA,0.21212121212121213,100.0,50.0
UA,0.22222222222222224,93.0,50.0
UA,0.23232323232323235,88.0,50.0
UA,0.24242424242424243,80.0,48.0
UA,0.25252525252525254,74.0,48.0
UA,0.26262626262626265,69.0,48.0
UA,0.27272727272727276,67.0,47.0
UA,0.2828282828282829,63.0,47.0
UA,0.29292929292929293,63.0,47.0
UA,0.30303030303030304,63.0,47.0
UA,0.31313131313131315,60.0,47.0
UA,0.32323232323232326,57.0,47.0
UA,0.33333333333333337,53.0,46.0
UA,0.3434343434343435,53.0,46.0
UA,0.3535353535353536,51.0,45.0
UA,0.36363636363636365,49.0,44.0
UA,0.37373737373737376,47.0,43.0
UA,0.38383838383838387,46.0,43.0
UA,0.393939393939394,45.0,42.0
UA,0.4040404040404041,44.0,42.0
UA,0.4141414141414142,43.0,41.0
UA,0.42424242424242425,42.0,40.0
UA,0.43434343434343436,37.0,36.0
UA,0.4444444444444445,37.0,36.0
UA,0.4545454545454546,36.0,35.0
UA,0.4646464646464647,36.0,35.0
UA,0.4747474747474748,34.0,34.0
UA,0.48484848484848486,33.0,33.0
UA,0.494949494949495,33.0,33.0
UA,0.5050505050505051,33.0,33.0
UA,0.5151515151515152,32.0,32.0
UA,0.5252525252525253,31.0,31.0
UA,0.5353535353535354,31.0,31.0
UA,0.5454545454545455,31.0,31.0
UA,0.5555555555555556,31.0,31.0
UA,0.5656565656565657,29.0,29.0
UA,0.5757575757575758,29.0,29.0
UA,0.5858585858585859,29.0,29.0
UA,0.595959595959596,29.0,29.0
UA,0.6060606060606061,28.0,28.0
UA,0.6161616161616162,28.0,28.0
UA,0.6262626262626263,28.0,28.0
UA,0.6363636363636365,27.0,27.0
UA,0.6464646464646465,25.0,25.0
UA,0.6565656565656566,24.0,24.0
UA,0.6666666666666667,24.0,24.0
UA,0.6767676767676768,23.0,23.0
UA,0.686868686868687,23.0,23.0
UA,0.696969696969697,22.0,22.0
UA,0.7070707070707072,22.0,22.0
UA,0.7171717171717172,21.0,21.0
UA,0.7272727272727273,21.0,21.0
UA,0.7373737373737375,21.0,21.0
UA,0.7474747474747475,21.0,21.0
UA,0.7575757575757577,21.0,21.0
UA,0.7676767676767677,21.0,21.0
UA,0.7777777777777778,21.0,21.0
UA,0.787878787878788,21.0,21.0
UA,0.797979797979798,21.0,21.0
UA,0.8080808080808082,21.0,21.0
UA,0.8181818181818182,21.0,21.0
UA,0.8282828282828284,19.0,19.0
UA,0.8383838383838385,18.0,18.0
UA,0.8484848484848485,18.0,18.0
UA,0.8585858585858587,17.0,17.0
UA,0.8686868686868687,17.0,17.0
UA,0.8787878787878789,17.0,17.0
UA,0.888888888888889,17.0,17.0
UA,0.8989898989898991,17.0,17.0
UA,0.9090909090909092,16.0,16.0
UA,0.9191919191919192,16.0,16.0
UA,0.9292929292929294,15.0,15.0
UA,0.9393939393939394,15.0,15.0
UA,0.9494949494949496,15.0,15.0
UA,0.9595959595959597,15.0,15.0
UA,0.9696969696969697,14.0,14.0
UA,0.9797979797979799,13.0,13.0
UA,0.98989898989899,12.0,12.0
UA,1.0,6.0,6.0
NUA,0.0,208.0,86.0
NUA,0.010101010101010102,171.0,86.0
NUA,0.020202020202020204,169.0,86.0
NUA,0.030303030303030304,166.0,86.0
NUA,0.04040404040404041,164.0,86.0
NUA,0.05050505050505051,164.0,86.0
NUA,0.06060606060606061,164.0,86.0
NUA,0.07070707070707072,163.0,86.0
NUA,0.08080808080808081,161.0,86.0
NUA,0.09090909090909091,160.0,86.0
NUA,0.10101010101010102,159.0,86.0
NUA,0.11111111111111112,159.0,86.0
NUA,0.12121212121212122,157.0,86.0
NUA,0.13131313131313133,156.0,86.0
