Class,Threshold,High_Risk_Count,True_Positive_Count
UA,0.0,208.0,50.0
UA,0.010101010101010102,204.0,50.0
UA,0.020202020202020204,203.0,50.0
UA,0.030303030303030304,202.0,50.0
UA,0.04040404040404041,201.0,50.0
UA,0.05050505050505051,201.0,50.0
UA,0.06060606060606061,200.0,50.0
UA,0.07070707070707072,199.0,50.0
UA,0.08080808080808081,197.0,50.0
UA,0.09090909090909091,194.0,50.0
UA,0.10101010101010102,192.0,50.0
UA,0.11111111111111112,192.0,50.0
UA,0.12121212121212122,190.0,50.0
UA,0.13131313131313133,187.0,49.0
UA,0.14141414141414144,184.0,49.0
UA,0.15151515151515152,183.0,49.0
UA,0.16161616161616163,178.0,48.0
UA,0.17171717171717174,172.0,48.0
UA,0.18181818181818182,167.0,48.0
UA,0.19191919191919193,161.0,48.0
UA,0.20202020202020204,151.0,48.0
UA,0.21212121212121213,143.0,48.0
UA,0.22222222222222224,130.0,47.0
UA,0.23232323232323235,118.0,43.0
UA,0.24242424242424243,104.0,42.0
UA,0.25252525252525254,95.0,39.0
UA,0.26262626262626265,85.0,37.0
UA,0.27272727272727276,78.0,37.0
UA,0.2828282828282829,68.0,36.0
UA,0.29292929292929293,58.0,33.0
UA,0.30303030303030304,53.0,33.0
UA,0.31313131313131315,45.0,31.0
UA,0.32323232323232326,39.0,28.0
UA,0.33333333333333337,36.0,27.0
UA,0.3434343434343435,34.0,26.0
UA,0.3535353535353536,30.0,24.0
UA,0.36363636363636365,24.0,20.0
UA,0.37373737373737376,23.0,19.0
UA,0.38383838383838387,20.0,16.0
UA,0.393939393939394,17.0,15.0
UA,0.4040404040404041,14.0,13.0
UA,0.4141414141414142,9.0,9.0
UA,0.42424242424242425,8.0,8.0
UA,0.43434343434343436,7.0,7.0
UA,0.4444444444444445,6.0,6.0
UA,0.4545454545454546,6.0,6.0
UA,0.4646464646464647,6.0,6.0
UA,0.4747474747474748,6.0,6.0
UA,0.48484848484848486,5.0,5.0
UA,0.494949494949495,5.0,5.0
UA,0.5050505050505051,3.0,3.0
UA,0.5151515151515152,2.0,2.0
UA,0.5252525252525253,2.0,2.0
UA,0.5353535353535354,2.0,2.0
UA,0.5454545454545455,2.0,2.0
UA,0.5555555555555556,2.0,2.0
UA,0.5656565656565657,2.0,2.0
UA,0.5757575757575758,2.0,2.0
UA,0.5858585858585859,2.0,2.0
UA,0.595959595959596,2.0,2.0
UA,0.6060606060606061,1.0,1.0
UA,0.6161616161616162,1.0,1.0
UA,0.6262626262626263,1.0,1.0
UA,0.6363636363636365,1.0,1.0
UA,0.6464646464646465,1.0,1.0
UA,0.6565656565656566,1.0,1.0
UA,0.6666666666666667,1.0,1.0
UA,0.6767676767676768,1.0,1.0
UA,0.686868686868687,1.0,1.0
UA,0.696969696969697,1.0,1.0
UA,0.7070707070707072,1.0,1.0
UA,0.7171717171717172,1.0,1.0
UA,0.7272727272727273,1.0,1.0
UA,0.7373737373737375,1.0,1.0
UA,0.7474747474747475,1.0,1.0
UA,0.7575757575757577,0.0,0.0
UA,0.7676767676767677,0.0,0.0
UA,0.7777777777777778,0.0,0.0
UA,0.787878787878788,0.0,0.0
UA,0.797979797979798,0.0,0.0
UA,0.8080808080808082,0.0,0.0
UA,0.8181818181818182,0.0,0.0
UA,0.8282828282828284,0.0,0.0
UA,0.8383838383838385,0.0,0.0
UA,0.8484848484848485,0.0,0.0
UA,0.8585858585858587,0.0,0.0
UA,0.8686868686868687,0.0,0.0
UA,0.8787878787878789,0.0,0.0
UA,0.888888888888889,0.0,0.0
