Class,FPR,TPR,AUC
UA,0.0,0.0,0.8058227848101266
UA,0.0,0.02,0.8058227848101266
UA,0.0,0.32,0.8058227848101266
UA,0.006329113924050633,0.32,0.8058227848101266
UA,0.006329113924050633,0.44,0.8058227848101266
UA,0.012658227848101266,0.44,0.8058227848101266
UA,0.012658227848101266,0.52,0.8058227848101266
UA,0.04430379746835443,0.52,0.8058227848101266
UA,0.04430379746835443,0.54,0.8058227848101266
UA,0.06329113924050633,0.54,0.8058227848101266
UA,0.06329113924050633,0.56,0.8058227848101266
UA,0.16455696202531644,0.56,0.8058227848101266
UA,0.16455696202531644,0.58,0.8058227848101266
UA,0.2088607594936709,0.58,0.8058227848101266
UA,0.2088607594936709,0.62,0.8058227848101266
UA,0.24050632911392406,0.62,0.8058227848101266
UA,0.24050632911392406,0.64,0.8058227848101266
UA,0.25949367088607594,0.64,0.8058227848101266
UA,0.25949367088607594,0.66,0.8058227848101266
UA,0.27848101265822783,0.66,0.8058227848101266
UA,0.27848101265822783,0.68,0.8058227848101266
UA,0.3291139240506329,0.68,0.8058227848101266
UA,0.3291139240506329,0.72,0.8058227848101266
UA,0.33544303797468356,0.72,0.8058227848101266
UA,0.33544303797468356,0.74,0.8058227848101266
UA,0.36075949367088606,0.74,0.8058227848101266
UA,0.36075949367088606,0.76,0.8058227848101266
UA,0.3860759493670886,0.76,0.8058227848101266
UA,0.3860759493670886,0.78,0.8058227848101266
UA,0.3987341772151899,0.78,0.8058227848101266
UA,0.3987341772151899,0.8,0.8058227848101266
UA,0.4240506329113924,0.8,0.8058227848101266
UA,0.4240506329113924,0.82,0.8058227848101266
UA,0.43037974683544306,0.82,0.8058227848101266
UA,0.43037974683544306,0.84,0.8058227848101266
UA,0.44936708860759494,0.84,0.8058227848101266
UA,0.44936708860759494,0.86,0.8058227848101266
UA,0.46835443037974683,0.86,0.8058227848101266
UA,0.46835443037974683,0.88,0.8058227848101266
UA,0.5506329113924051,0.88,0.8058227848101266
UA,0.5506329113924051,0.9,0.8058227848101266
UA,0.6329113924050633,0.9,0.8058227848101266
UA,0.6329113924050633,0.92,0.8058227848101266
UA,0.6582278481012658,0.92,0.8058227848101266
UA,0.6582278481012658,0.94,0.8058227848101266
UA,0.7088607594936709,0.94,0.8058227848101266
UA,0.7088607594936709,0.96,0.8058227848101266
UA,0.7721518987341772,0.96,0.8058227848101266
UA,0.7721518987341772,0.98,0.8058227848101266
UA,0.9177215189873418,0.98,0.8058227848101266
UA,0.9177215189873418,1.0,0.8058227848101266
UA,1.0,1.0,0.8058227848101266
NUA,0.0,0.0,0.9166031261913838
NUA,0.0,0.011627906976744186,0.9166031261913838
NUA,0.0,0.08139534883720931,0.9166031261913838
NUA,0.00819672131147541,0.08139534883720931,0.9166031261913838
NUA,0.00819672131147541,0.11627906976744186,0.9166031261913838
NUA,0.01639344262295082,0.11627906976744186,0.9166031261913838
NUA,0.01639344262295082,0.22093023255813954,0.9166031261913838
NUA,0.02459016393442623,0.22093023255813954,0.9166031261913838
NUA,0.02459016393442623,0.26744186046511625,0.9166031261913838
NUA,0.03278688524590164,0.26744186046511625,0.9166031261913838
